,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
261,It was a ok experience but I expected more !,"Flight attendant were helpful, sweet n very professional. Youwill have no privacy if you were to travel alone ( for couple is fine) entertainment was very limited (comparing to middleweight east airlines). Food was ok :((( They offered (veggie, fish and beef  you have to pick‚", Jul 2019,19-Jun,"Mainz, Germany",Frankfurt - Bogota,Business Class,228,3
262,My 1st time on A380,"One of the best flights I've had. Great crew, smooth landing. Food was good, for a long flight I liked the attention of the flight attendants, keeping everyone hydrated. Would a 100% recommend and re-book.", Jul 2019,19-Jul,"Merida, Mexico",Frankfurt - Houston,Economy,45,5
263,Not good,"I was flying home from Frankfurt on a big aircraft, Boeing 744. I thought it would be more comfortable but I was wrong, the seat is so mall, cushion so thin I thought I touched the spring underneath.( I am a petite asian). Their onscreen TV was fairly new and had better images.‚", Jul 2019,19-Jul,"Vancouver, Canada",Frankfurt - Vancouver,Economy,55,3
264,"Great flight with them, once again!!","Once again, flying with Lufthansa, even in basic coach, was a great experience! Staff is polite, helpful, and as near to  on time as you can get! I will fly with them again, hands down!  (I just wish that for VERY TALL people, they could be classified as disabled or handicapped‚", Jul 2019,18-Nov,"Gering, Nebraska",Budapest - Orlando,Economy,16,5
265,Excellent Airline,"Service, food and choice of food, and equipment were all excellent.  We arrived in Frankfurt on time and made our connection to Milan with ease, although it was a long walk.", Jul 2019,19-Jun,"Philadelphia, Pennsylvania",Philadelphia - Frankfurt,Business Class,800,5
266,Mexico City to Munich enlace a Athens,Of course no airline has service as was of the past years...but the Airbus 360 interior plan gives one the feeling of some separation of space and not sitting in a cavern / and with several toliet facilities on the lower deck there is not that line-up along the passageway‚, Jul 2019,19-Jun,"San Miguel de Allende, Mexico",Mexico City - Athens,Premium Economy,32,5
267,Great airline with great service!,"We had an overnight flight and dinner was a couple hours after we took off. The legroom was okay, the seats were comfortable-ish, and the plane was pretty clean. We got a snack of pretzels about 2 hours before dinner. The dinner tastes OK, on our flight you could get pasta with‚", Jul 2019,19-Jun,"Ordos, China",Chicago - Munich,Economy,50,5
268,Short haul business class - disappointing,"We had come in from a long haul Lufthansa from Buenos Aires which was absolutely fabulous. Our last leg was a short hop from Frankfurt to London. I thought the business class lounge at Frankfurt was disappointing. The food and drink were of a good standard, but the seating areas‚", Jul 2019,19-Jul,,Frankfurt - London,Business Class,22,3
269,Business Class - Buenos Aires to Frankfurt,Absolutely fantastic experience. Right from check-in. Spent a bit of time in the lovely business class lounge in Buenos Aires. Then skipping the queues and onto a very full flight. We were not originally sat together as we had a problem with our original booking. By coincidence‚, Jul 2019,19-Jul,,Buenos Aires - Frankfurt,Business Class,22,5
270,Excellent Crew Members,"The crew members were excellent! Very professional, caring, enthusiastic, and quite attentive to the needs of the passengers. The food and service were excellent. I would certainly book a flight with them again.", Jul 2019,19-Jun,,Frankfurt - Chicago,Business Class,1,5
271,family friendly service,"On this long flight the Lufthansa flight service team on board was absolutely perfect. They took care of us and our children in a politeful and friendly way. They respected our privacy and never complained about ""special"" orders by our children. Because of this crew and the wide‚", Jul 2019,19-Jun,"Stuttgart, Germany",Frankfurt - Orlando,Business Class,2,5
272,Absolutely disgraceful ,Absolutely disgraceful    Checked in on time for a 4.50 flight - all went according to plan. Went to gate as instructed to be informed that the flight had been cancelled - sent to service Centre and I am now in the queue and have been for 60 mins - no information at all so far.‚, Jul 2019,19-Jul,"Ho Chi Minh City, Vietnam",Frankfurt - Manchester,Economy,55,1
273,Total Chaos ,"Afternoon flight from Munich to D√ºsseldorf. A full flight as it is a popular timing on a Friday afternoon. So far so good, and even a delay can happen...which it did. But in the plane I found a complete mess. Hand baggage not fitting in the overhead space. Even though I could‚", Jul 2019,19-Jul,"D√ºsseldorf, Germany",Munich - D√ºsseldorf,Economy,56,1
274,pleasure to fly with LH on destinations other than those related to Sofia airport,Good quality of the service except flights from and to Sofia.  Perfect organisation of the staff flights without delays, Jul 2019,19-Jul,,Sofia - St. Petersburg,Economy,5,4
275,Unexpected free upgrade to Business Class!,We had booked premium economy and was happy to be upgraded to business class to our connecting airport in Germany complete with lounge access in CHicago. Very nice!, Jul 2019,19-Jul,"Cape Town, South Africa",Chicago - Sofia,Premium Economy,42,5
276,Very good service,We were happy with everything on the flight. The flight attendants were efficient. The only thing we did not like was be given the last two seat in the back of the airline. They were very uncomfortable., Jul 2019,19-Jul,"Pembroke, Massachusetts",Boston - Munich,Economy,12,5
277,Poor service. Extremely bad costumer service!,"Used to fly with Lufthansa from NZ to Europe but after 2 recent terrible experiences, never again. After hours travelling from Australasia to Frankfurt we got into the Lufthansa plain to Lisbon and that was a nightmare! Terrible connection in Frankfurt, passengers waited for‚", Jul 2019,18-Dec,New Zealand,Frankfurt - Lisbon,Economy,32,1
278,Great staff in GLASGOW,The staff in GLASGOW Airport were very helpful. I am still recuperating from a serious stroke and they were very kind. I don‚Äôt need a wheelchair but appreciated the concern showed by staff.  The business lounge in Frankfurt was not great. Full to capacity and had to wait for a‚, Jul 2019,19-Jul,,Glasgow - Rome,Business Class,6,1
279,"Poor communication for waiting passengers, very long delayed flight ","I was traveling from Boston to Helsinki Via Munich, 7.10 pm flight left at 11 pm with very little information on why delayed. Tiring wait at Boston airport, felt like eternity!! Further 4 hours delay at Munich  Very frustrating experience  Will not recommend it to anyone  Ground‚", Jul 2019,19-May,"Sydney, Australia",Boston - Helsinki,Economy,25,2
280,"Dont book Premium Econ on Lufthansa, you get an Econ flight experience, not worth it","I booked via Air Canada but it was code share with Lufthansa, there is no difference at all between PE and econ. I was on the last PE row and behind me is Econ ie no dividers. All the meals and service were econ, so why did I pay more ? On the way to Basel from Frankfurt as the‚", Jul 2019,19-Jul,"Toronto, Canada",Toronto - Basel,Premium Economy,31,2
281,"No customer service, very rude and distant ","I use to love Lufthansa and flying with the use to be seamless, And now it seams like there standards have dropped dramatically, we have been rebooked twice in a month and ,paid for select Seats twice even tho we where rebooked, can‚Äôt get a refund on the selected seats on the‚", Jul 2019,19-Jul,Texas,Dallas - Krakow,Premium Economy,58,1
282,Forgot my vegan meals:(,"Lots of great movies and helpful/courteous crew. But I ordered vegan meals prior to my flight and they did not have them. Since there were 3 meals, this caused a lot of anxiety for me. Thankfully, they did have vegetarian options for the meals, but it was all crap food (think,‚", Jul 2019,19-Jul,"San Diego, California",Amman - Los Angeles,Economy,378,3
283,Great airplane; poor connection in Frankfurt,"Super comfortable aircraft; very nice flight attendants and great service.  BUT, our flight was late leaving SFO, cutting into the connection time in Frankfurt.  Lufthansa did not tell us we had to leave security and go back through, and boy, that was a zoo!  Everyone was‚", Jul 2019,19-Jun,"Saratoga, California",San Francisco - Venice,Business Class,11,4
284,A tight squeeze,"Managed to get a middle seat in between two fairly large men. Service ok, food disappointing and as I was squeezed in between these large men it was not a very comfortable flight. I used to think the 747 was such a luxury plane but now it feels like a big bus.", Jul 2019,19-May,"Stockholm, Sweden",Stockholm - Buenos Aires,Economy,4,3
285,Money grabbing B*********,"Lufthansa a company I will never fly with, first they gave me the wrong advise on booking sports equipment, then charged me an extra ¬£44 pounds to not take the outbound leg of my return flight, not refund on the outbound leg, okay, then three days later the call me and say not‚", Jul 2019,NA,"Stockport, United Kingdom",Manchester - Poznan,Economy,185,1
286,An enjoyable trip!,"Traveling with my husband and two boys 14 and 12. Everything was on time and the service was good. Got in flight adult beverages, nice meals both ways, plenty of movies, music and game options. Only issue I had was on the flight back we were in the last row, so our seats‚", Jul 2019,19-Jun,"Christiansburg, Virginia",New York City - Rome,Economy,91,3
287,"SEAMLESS, COMFORTABLE LONG DISTANCE TRAVEL","Lufthansa is one of the airlines at the Bradley Terminal, LAX, that uses TSA Pre-check (not all do), so the process was comfortable from the beginning.  We flew Premium Economy, well worth the extra fare, and found the seats to be comfortable and spacious, offering a wide range‚", Jul 2019,19-May,"Freiburg im Breisgau, Germany",Los Angeles - Munich,Premium Economy,182,5
288,Lufthansa,Service on this flight was excellent.  Crew was very attentive.  Plenty of legroom and good entertainment selection.  On complaint was the food did not meet my expectations., Jul 2019,19-May,"Severn, Maryland",Barcelona - Washington DC,Business Class,33,4
289,Lots of cancellations,"We were 5 traveling to Barcelona. 1 couple, 1 adult, 1 adult +1 child. We were supposed to leave around 11.30, transit via Munich, and land in Barcelona around 16. Early in the morning, we received SMS that our flight was cancelled. The adult managed to book one leaving about an‚", Jul 2019,19-May,,Gothenburg - Barcelona,Economy,78,3
290,A very pleasant trip!,"In a word, WOW!!!  I have never flown in Premium Economy.  But now, I will try to fly Premium Economy on Lufthansa exclusively!  It is definitely worth the money!", Jul 2019,19-Apr,"Chicago, Illinois",Lviv - Chicago,Premium Economy,4,5
291,rude in flight crew with attitude never to Travel again,"My 15 year old kid travelled alone amd instead of being helpful they were rude, with a attitude and unapologetic about it ! being a well traveled kid she didn't want to interrupt while the service is on but they can see a kid standing waiting to use the washroom and will not‚", Jul 2019,19-Jul,"Delhi, New York",Boston - New Delhi,Premium Economy,155,1
292,A nice flight and excellent hospitality,I had a problem with my leg and I immediately had assistance at the airport . The flight departure and arrival were on time. The food was nice., Jul 2019,19-Jun,Paris,Munich - Larnaca,Business Class,17,5
293,Spring for Premium if you can,premium economy is worth the extra money! I had a bulk head row and lots of extra space. The seats recline with foot rests this is the first time I was ever able to sleep on a plane. They also give you a welcome drink and snack. There is a menu with choices of food. This is also‚, Jul 2019,19-Jul,"Fort Myers, Florida",Florence - Tampa,Premium Economy,21,5
294,Great option for long international flights!,"Lufthansa does a very good job keeping you as comfortable (and well fed) as possible on a long overseas flight like this. The major downside is that they charge for *everything* upfront: seat selection, baggage, etc", Jul 2019,19-Jun,"Ridgway, Colorado",Denver - Munich,Economy,33,4
295,A nice flight,"For an one-hour flight, I was surprised to be on this 320 air craft. With a 3-3 configuration, there is more leg room, seats are in vinyl and good size. There is no personal tv screen, no in seat power outlet of course. It was a short flight but crew was able to serve us drinks.‚", Jul 2019,19-Jul,"Vancouver, Canada",Amsterdam - Frankfurt,Economy,55,4
296,Never have I tried worse service,"I took a plane from Copenhagen to Nice at Monday the 8th of July 2019. We had to transfer in Frankfurt and the first plane was delayed, so we had to run from one plane to another.   When we landed in Nice our five bags were missing. We were then told that they would come the‚", Jul 2019,19-Jul,"Copenhagen, Denmark",Copenhagen - Nice,Economy,2,1
297,Efficient and comfortable,Both ground staff and crew were informative and helpful.  Both inbound and outbound were smooth and on time with minimum delays.  Surprised when I was upgraded to Business Class at boarding on my return trip.  Improvements needed for connection to Dortmund via Eurowing, Jul 2019,19-Jul,"Vancouver, Canada",Vancouver - Munich,Premium Economy,9,5
298,Average flight in Business Class,In general not a bad experience.  Food was average. The chair was very uncomfortable and the TV screen was very hard to see.  Would recommend BA instead., Jul 2019,19-Jul,"Athens, Greece",Athens - New York City,Business Class,44,4
299,Pleasantly surprised,"Didn‚Äôt know what to expect, it was my first time flying with this airline.  The flight crew made the experience very pleasant.  They helped us, the passengers transition quite well from Pacific Daylight Time to German Time (9 hours ahead). We had good options for food (regular &‚", Jul 2019,19-Jul,"Discovery Bay, California",San Francisco - Frankfurt,Economy,4,4
300,Business Class Uncomforable,"Business class seating was very uncomfortable. The seat sections jam in to you in all the wrong places when you try to lay the seat out for sleep. I'm 6'2"" and had to shift to try to fit.  Plus, you are 'exposed' far more than other airlines. Absolutely no privacy when trying to‚", Jul 2019,19-Jun,"Elgin, Illinois",Chicago - Munich,Business Class,132,3
301,Comfortable flight with friendly flight attendants ,"It was a long haul flight with transit at Frankfurt airport. The transit from one flight to the other was quite seamless.   If one does not look for very comprehensive inflight entertainment, I think it‚Äôs pretty sufficient.  I quite like the food served... tasty üòã  In addition,‚", Jul 2019,19-Jul,"Singapore, Singapore",Singapore - Reykjavik,Economy,273,4
302,Excellent Service on Premium Economy on LH590,The seats are quite comfortable and great for sleeping on a long flight. The meals are delicious.  The array of drinks are not many and this is an area where Lufthansa can improve on, Jul 2019,19-Jun,"Nairobi, Kenya",Frankfurt - Nairobi,Premium Economy,15,4
303,Worst company ever,"Flight was delayed 12 hours. No help from the company. No representative came to explain what is the way further. Been sent to another side of the terminal which you need to take a train. By the time we arrived, everything was closed. No Lufthansa member in the whole airport‚", Jul 2019,19-Jul,,Bucharest - Cape Town Central,Economy,5,1
304,Clean and reasonable services on board at airport,"It was very pleasant and comfortable trip although flight was fully occupied. Such a busy circumstances, flight crew always keep smile and share with us light jokes.", Jul 2019,19-Jun,"Kuala Lumpur, Malaysia",Frankfurt - Singapore,Economy,58,5
305,Extra legroom seats were also extra narrow.,Was an old 747. Paid $100 extra for leg room. Both myself and the travelers on either side of me found that the seats were so narrow we were squeezed in (and none of the 3 of us were extra wide). Had to scoot forward and turn sideways to reach the seat belts. Food and service‚, Jul 2019,19-Jun,"Chicago, Illinois",Frankfurt - Chicago,Premium Economy,12,3
306,Not comfortable.,"So basically the flight was on time . The problem is we paid for the Premium Economy and supposedly upgraded seats, which were not  any better than regular economy. The flight from SFO to Frankfurt was little more comfortable than the flight from Frankfurt to Iran which was‚", Jul 2019,18-Oct,,San Francisco - Tehran,Premium Economy,41,2
307,Worst Airline Experience of my Life,"Lufthansa provided me with the the worst airline experience of my life. I have never experienced such inept and inconsiderate staff members. Staff members in Venice, Italy were particularly incompetent.  1) I was forced to check bags that were within all guidelines for carry on‚", Jul 2019,19-Jul,,Venice - Boston,Premium Economy,1,1
308,Friendliest Crew Ever,Not only were we met with a smile but each and every crew member smiled and could not be more helpful. They all seemed to enjoy their jobs. I never have seen anything like this before and I have traveled the world mostly in business or domestic first class. Bravo!, Jul 2019,19-Jul,"Laguna Beach, California",Santiago - Buenos Aires,Economy,137,5
309,Business class is the best,Very comfortable seats and service. I don't remember the food so it must have been ok. Seats reclined almost to flat., Jul 2019,19-May,,Frankfurt - Houston,Business Class,65,5
310,Felt really pampered,"This is a long haul flight, dreaded by us. Seating arrangement is comfortable, service is attentive and nice.  Food quality is high, selection is good. The best experience is the ""sleep shirt"" and  the  thick, warm blanket, distributed for the night. Thank to those, we could‚", Jul 2019,19-Jun,sydneyy,Hong Kong - Frankfurt,Business Class,87,4
311,Getting to Italy Via Germany,"Now that Europe is becoming more accommodating to each country, one can fly to any country and eventually reach destination efficiently and effectively. We got to Turin with Lufthansa via Frankfurt and absolutely loved it. Departing from Boston, the flight seemed shorter, more‚", Jul 2019,19-Jun,"Boston, Massachusetts",Boston - Turin,Economy,57,5
312,"Comfortable and friendly Crew, never had any issue with them",i try to use Lufthansa where ever possible. compared to other Airlines the planes are more comfortable and better maintained. Also i never had an unfriendly crew, Jul 2019,18-Nov,,Munich - Bengaluru,Economy,2,5
313,Inept,"Flew Luftansa as expected German standards of efficiency. Bitterly disappointed. Every flight was delayed which also resulted in added transfer's to Frankfurt from Munich. To top everything off my luggage was delayed and didnt arrive to me for over 48hrs, resulting in a‚", Jul 2019,19-Jul,,Birmingham - Naples,Economy,3,2
314,Very friendly and helpful air hostess,It was obvious that the air hostesses enjoy their work.  They are helpful to passengers and show genuine interest in offering a comfortable journey as much as possible., Jul 2019,19-May,"Hong Kong, China",Toronto - Frankfurt,Economy,13,4
315,Wunderbar Airline.....,I've flown Lufthansa the past few years to and from the USA to Deutschland.  I am disabled.....  However....**Everyone** from Lufthansa that assisted me in my Travel(s) on each and every Flight were outstanding!!!  I'd like to give a huge an heart-felt DANKE SCHON to the Medical‚, Jun 2019,18-Jul,,Denver - Frankfurt,Economy,18,5
316,Above and beyond for business,I lived in Thailand for 15 years - Thai airways ((star alliance) I got upgraded as as a Gold card member half a dozen times in 15 years.  I am now a Diamond grade member of One World (Cathay Pacific).  Was upgraded a lot in the beginning of this grade.  I am only a Silver member‚, Jun 2019,19-Jun,"Istanbul, Turkey",Frankfurt - Hong Kong,Business Class,94,5
317,Economy of s Sardine,"Beautiful new plane, but economy is dangerously tight. Seat ahead reclined and back of their chair was 9‚Äù from my face. Window passenger has to make others wake up and get out of their chairs to go to the bathroom. Narrow hard seats. My taller husband‚Äôs injured knee got crushed.‚", Jun 2019,19-Jun,,Newark - Munich,Economy,18,3
318,business class smal chair and distance,very near from front of chair - minmim distance not fair also chair is small for fat pepole like me need to have space special in long distance, Jun 2019,19-Jun,"Cairo, Egypt",Cairo - D√ºsseldorf,Business Class,3,3
319,Terrible online booking service!!!,"I have spent over 15 hours over period of five days, using three different web browsers to book flights from USA to Germany.  I have called Lufthansa tech support and reservations numbers numerous times.  Finally after repeated tries, and denials by Lufthhansa staff about web‚", Jun 2019,19-Jun,"Mahwah, NJ USA",Newark - Hamburg,Economy,27,1
320,Mr,Flight from HK to Munich Lufthansa rescheduled from 22.10 till 16.00 next day Mayhem nightmare  No information just basic meal vouchers No explanation  Good old German efficiency  Very bad to leave people stranded in airport Worst customer service ever, Jun 2019,19-Jun,,Hong Kong - Munich,Economy,3,1
321,Lufthansa made it right when they made a mistake,"They lost my bag on a flight that I gate checked the bag on, leaving me overnight with nothing in Florence. But they compensated me essentially the cost of the flight. I appreciate them actually taking steps to correct a mistake they made. A lot of airlines today will just say‚", Jun 2019,19-Jun,,Frankfurt - Florence,Economy,1,5
322,Worst Service,"I would not recommend to travel through Lufthansa operated by United Airlines. As they don‚Äôt have proper connections between United Airlines and Lufthansa. We got stranded at Munich, Germany because of the Airlines fault. There were many others stranded as well. I would not‚", Jun 2019,19-Jun,,Chicago - Hyderabad,Premium Economy,1,1
323,We resumed our code share flight with Lufthansa,"Time to head home after an enjoyable month in Europe. The first leg was on a Lufthansa A319 and the plane was full. It also seemed to take an eternity from pulling away from the air bridge till we were in the air, but at least the captain kept up posted on what was  happening.‚", Jun 2019,19-Jun,"Canberra, Australia",Paris - Frankfurt,Business Class,627,4
324,coming home,Even though the leg room was a bit tight the flight was alright. The food service was very mediocre but they did serve wine so not a bad trade. staff was very friendly, Jun 2019,19-Jun,"Nashport, Ohio",Palermo - Columbus,Economy,146,4
325,Terrible employee -B kulei,"We arrived late due to Lufthansa and this employee  B kulei Decided to tell us we walked to a gate 50 meters away and back was reason we were bumped off and the plane sat in front of us at the gate !!  , this person is a TERRIBLE advert for Lufthansa . We now missed 1  day of a‚", Jun 2019,19-Jun,,Manchester - Frankfurt,Economy,1,1
326,Flight Helsinki-Francfort-Geneva,"Very short transit time in Francfort, due to delay at boarding. Otherwise normal short haul flight in Europe.", Jun 2019,19-Jun,"Lima, Peru",Helsinki - Canton of Geneva,Economy,2,3
327,"Horrible customer service, will not be flying w/ Lufthansa again","Lufthansa's customer service is laughable. When I arrived in CDG airport, my baggage was not present. I filled out a delayed/lost baggage claim report. I was told that they would contact me when they found my luggage.   I called several times and was told it was not found,‚", Jun 2019,19-May,"Houston, Texas",Frankfurt - Paris,Economy,160,1
328,"Good Flight, bad food","Excellent flight and seating. Plenty of leg room. 100% better than any US based airline. Good service from attentive flight attendants. My only complaint was the food, which was barely edible, but this seems standard on overseas flights anymore on all the airlines.", Jun 2019,19-May,"Fort Wayne, Indiana",Chicago - Munich,Premium Economy,22,4
329,One of the best,I flew to Reykjavik via Munich. It was a pleasant flight.The seats were comfortable and the flight attendants were very attentive At Munich airport there was a place where we could rest even take a nap waiting for our connecting flight to Reykjavik.I had flown to Munich before‚, Jun 2019,18-Jul,"Athens, Greece",Athens - Reykjavik,Economy,21,5
330,Lufthansa is an airline that i prefeer,"Lufthansa is often a very smooth flight, with enough legroom and they always offer you a sandwich (Cheese or chicken). But my last flight between these destinations no one recieved the sandwich, or drinks.", Jun 2019,19-Jun,"Stockholm County, Sweden",Frankfurt - Stockholm,Economy,26,4
331,1 stop flight to Milan via Frankfurt,Nice on time flight to Milan via Frankfurt with a short waiting time. Lufthansa has nice planes with friendly crew and airport staff. Linate airport is quite small and the staff there is unwilling to help if you have problems or something to ask. Info desk was closed with a sign‚, Jun 2019,19-Feb,"Helsinki, Finland",Helsinki - Milan,Economy,18,5
332,Good,"Great flight, flight attendants were so polite and friendly ans spoke good English. It was lovely weather so we enjoyed the flight.", Jun 2019,19-Jun,"Belgrade, Serbia",Belgrade - Zurich,Economy,26,5
333,Nice experience,Overall it was a good experience. Check-in was smooth with Web Check-in facility. Flight was on-time. Meal service was good. in-flight entertainment was good too with lot of options., Jun 2019,19-Apr,"Pune, India",Mumbai - Brussels,Economy,105,4
334,Good experiences as usual,"Very efficient and comfortable flights between London, Munich and Zurich. Aircraft were relatively new and were well run with good-natured ground and airborne staff.", Jun 2019,19-Jun,"Reading, United Kingdom",Munich - Zurich,Economy,214,4
335,.Very poor service - will avoid Lufthansa in the future,"Flight was from Lisbon to Frankfurt, and from Frankfurt to Singapore.  Departure from Lisbon was delayed for over 1.5 hours.    When we boarded the aircraft, I immediately informed cabin crew that I had a connecting flight, and that I would be most grateful if they could arrange‚", Jun 2019,19-Jun,"Paris, France",Lisbon - Singapore,Business Class,5,1
336,These guys are so good,"I know it was business class and it should be better but it‚Äôs more than that, the crew was fantastic and the attention to detail for the entire flight was amazing. I always feel the way they board is chaotic and very un German in that it is a free for all but it seems to work,‚", Jun 2019,19-Jun,"Upland, California",Frankfurt - Los Angeles,Business Class,96,5
337,Frankfurt + Lufthansa is a bad combination,As always Frankfurt Airport not surprisingly is a completely disorganized mess. A simple transfer between flights which were more or less on time proved impossible resulting in 6 extra hours in the airport. Lufthansa provides vauchers worth 10EUR for that time - needles to say‚, Jun 2019,19-Jun,,Sofia - Helsinki,Economy,2,1
338,Truly Indian,Well Lufthansa you truly deserve a 5 star raiting all bcz of ur cabin crew.   We opted for vegetarian food which was excellent. Thumbs up  Plenty of drinks served in flight and never for a moment we felt thirsty or dehydrated.   Cabin crew were all smiles and even the little‚, Jun 2019,NA,"Kolkata (Calcutta), India",Frankfurt - New Delhi,Economy,12,5
339,Very professional behavior,Very professional behavior. Quality and efficiency can summarise the services of Lufthansa.  We had a flight from Paris to Munich then a change to fly from Munich to Moscow... and that was the same for the return.  Everything was perfect., Jun 2019,19-Jun,"Bois Colombes, France",Paris - Moscow,Economy,"1,000",5
340,"Excellent service, excellent seats, but really only as a couple!","This was for a holiday so we had looked around for a good business class product, with a good connection to the ultimate destination;  The fact that we had never been in Panama made it a fun stop for a night.  The flight was great, the seats excellent and the service friendly‚", Jun 2019,19-Jun,"London, United Kingdom",Frankfurt - Panama City,Business Class,44,5
341,I really enjoyed it , I really enjoyed it they do things to perfection. Great stuff thanks a lot Lufthansa even in difficult situation you rock it i will for sure travel again with you one thing to improve little bit the meal , Jun 2019,NA,,Algiers - New York City,Economy,40,4
342,Great value for money,"Good seats, great leg room, friendly staff and complete description  of any flight problems. Full size carry on luggage. Sandwiches and drink included. For the money I thought this was excellent value.", Jun 2019,19-Jun,"Salisbury, United Kingdom",London - Munich,Economy,7,5
343,When you want to fly in style,We actually flew to Frankfurt (FRA) then to London (LHR) on the way over and on our return flew Munich (DE) to New York (JFK). We had a first-time overseas couple with us and they totally loved the treatment on both flights by the fantastic Lufthansa crew. My wife and I fly a‚, Jun 2019,19-Jun,,New York City - London,Business Class,11,5
344,Unaccompanied minor with this airline. Think twice!!!,"Lufthansa was our airline of choice for many years back and we've chosen to send our kid to fly with them. We experienced multiple cancelations, delays, lost child's drop off contact info, long wait times. Overall, we are completely shocked by the level of unprofessionalism that‚", Jun 2019,19-Jun,,Belgrade - Toronto,Premium Economy,1,1
345,"Best quality, best service",Easily the best air experience I've ever had with any airline. I can't say enough about the plane and the flight staff. There was no limit to the quality and kindness of the service and amenities., Jun 2019,19-Apr,"Atlanta, Georgia",Atlanta - Frankfurt,Business Class,37,5
346,"Great Service, comfortable, and German efficiency at its best.","The flight was very clean, seats comfortable, and food was great. Even the in-flight entertainment was very good.  We haven't flown Lufthansa for a while....but their aircraft fleet is new, clean and very comfortable. Great Flight.", Jun 2019,19-Jun,"Melbourne, Australia",Copenhagen - New Delhi,Business Class,38,4
347,Lufthansa sucks,After having a delay for 15hrs because there flight was canceled they gave me an Economy seat and they do absolutely nothing for active military on orders. I‚Äôve never had a worse flight in my four year active duty. I hope I never have to fly Lufthansa again. Front counter guy‚, Jun 2019,19-Jun,,Chicago - Munich,Economy,1,1
348,As expected on a short haul flight in Europe,"No drama, no problems, a pleasant flight that lasted all of 90 minutes and went completely as one would expect,", Jun 2019,19-Jun,"Hellerup, Denmark",Copenhagen - Munich,Economy,96,3
349,worset flight i ever hade,"Dear Lufthansa .  When i did checkin in TLV i realized that the next conections flight is very tight and asked the manager to help to arranged to pick me from the gate we land to the departure gate at munich flight 2086 to Hamburg , we land and 2 services Lufftansa worker help‚", Jun 2019,19-Jun,"Karmiel, Israel",Tel Aviv - Hamburg,Economy,41,1
350,"Very good service, departs on time","I love Lufthansa. Shows how good the Germans are in everything they do.  Departed on time both inbound and outbound flights.   Legroom is ok, the staff is friendly.   The information on their website is helpful.", Jun 2019,NA,,Frankfurt - Manchester,Economy,12,5
351,Very nice & enjoyable flight!,"I am pleased to express my gratitude to the crew of the aircraft flying from Frankfurt to Almaty,,  on June 21, especially the work of flight attendants Swetlana  and  Katharina , which made this flight easy and even enjoyable (!).  Despite quite a long flight time (almost 8 )‚", Jun 2019,19-Jun,"Toronto, Canada",Frankfurt - Almaty,Economy,2,5
352,Very good,"I have only two complaints"" on the return flight (from Frankfurt to Chicago)  1. the security check was awful: A huge crowd, only two or three check lines were open, and the personnel was acting so slow, I think they were on strike (?); 2. On the plane, some seats were‚", Jun 2019,19-Jun,"Woodstock, Illinois",Chicago - Bucharest,Economy,60,4
353,Always a Joy,"From boarding in Miami with a stop in Frankfurt and then to Rome, every step was handled well.  All agents were courteous and respectful.  We had check our largest bag through to Rome and each had two carry-on bags.  On board the plane, the flight crew made sure that we had‚", Jun 2019,19-Jun,"North Port, Florida",Miami - Rome,Business Class,66,5
354,Underseat storage?  Where?,"I know we were flying economy from Frankfurt to Denver and I know we were in the middle section of four seats, but what I didn't know was that while there are four seats across, there are only 3 spots of under the seat storage for my backpack.  AND, the middle section was only‚", Jun 2019,19-May,,Frankfurt - Denver,Economy,2,2
355,Never ever,Business class does not matter. Flight attendants screamed at me for getting up while the plane was still. Did not want to check my next flight information. Customer service was awful. Avoid at all cost., Jun 2019,19-Jun,,Sofia - Munich,Business Class,3,1
356,Cancellation online is a nightmare ,Booked four tickets on business class.  Very happy with options to choose flight times and seats.  I chose to pay for the cancellation option with a fee.   Few days later I wanted to cancel my trip and when checking the email tickets there was no reservation code anywhere.  The‚, Jun 2019,19-Jun,"Muscat, Oman",Muscat Governorate - London,Business Class,22,1
357,Terrible customer service,"Had to book multi city trip via phone. Terribly slow, then the rep booked in incorrect name.  Asked for name to be corrected on same day, and also for name to be changed to maiden name if possible.  Told to cancel with full refund and rebook as easiest option. Was then told that‚", Jun 2019,19-Jun,kildare,Dublin - Montreal,Economy,13,2
358,extremely Bad service at Frankfurt due to delays,we were flying from London to frankfurt and in Frankfurt we should transfer.  we missed the flight due to kate arrival.of aircraft.  then started the story. we were all buisness class.  we had to queue for 40 minutes in a service center.  then the people were extremely rude.‚, Jun 2019,NA,"Tel Aviv, Israel",London - Frankfurt,Business Class,795,3
359,much improved airlines,"Excellent service, all air hostess took great care of my ill wife. They were making every effort to make us comfortable. Food was excellent and they made every effort to accommodate us . On arrival  at MUC support staff were present to help us to take my next flight. from MUC to‚", Jun 2019,19-Jun,"Lincoln, Nebraska",Denver - Copenhagen,Business Class,26,5
360,Nice flight,We had a nice and comfortable flight with good services. Furthermore frankfurt airport is big and beautiful enough for passengers‚Äô leisure times, Jun 2019,19-Jun,"Kish Island, Iran",Tehran - Montreal,Economy,212,4
361,When your change is only one hour and the flight is so late,On my way in my first flight was 45 minutes late. I had a one hour change in Munich and had to run from gate 3 to gate 71. I barely made it. And the good points for that also my luggage made it! My next flight was already boarding before I got t the terminal. For both Lufthansa‚, Jun 2019,19-May,"Tampere, Finland",Helsinki - Bologna,Economy,105,4
