,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
263,Awful - stay clear,"I was flying to Bali from London via Guangzhou. The airline did not allow me to board the plane from Guangzhou to Bali and the staff did not speak enough English to explain why. No one is able to take any reasonable decisions without someone up the chain signing it off, which‚", Sep 2018,18-Aug,"London, United Kingdom",London - Denpasar,Economy,10,1
264,Long delay,"It was actually a relatively pleasant flight except for that long delay in Guangzhou, where we boarded the plane, but stayed in so long, were even served dinner without taking off, and then eventually told that the flight was cancelled. For a relatively short trip, time was‚", Sep 2018,18-Jun,"Calgary, Canada",Calgary - Manila,Economy,49,3
265,First time flying with this company,Generally not too bad. Long overseas flight in economy was painful. Seats way too hard and lack of legroom. Service was great. Food was good. Delays once in China in all directions., Sep 2018,18-Aug,,Perth - Guangzhou,Economy,3,3
266,confortable airline,very smart and confortable service on the flight. Flight was a pleasant moment and my needs were recovery as regular travelers on sky team, Aug 2018,18-Aug,Paris,Beijing - Sanya,Economy,28,4
267,Very competent and very ppleasant crew,This airline has steadily improved over the last three years when I first used it.  The crew are very attentive and service in business class is personal.  The food is of good quality and served beautifully with proper linen napkins and metal knives and forks.  In Melbourne the‚, Aug 2018,18-Aug,"Melbourne, Australia",Melbourne - Guangzhou,Business Class,183,5
268,Good and Punctual Airline.. ,"Great Airline, good service, staff were very helpful ... Spoke English to us..Amazed they had nice vegetarian food ... quite airport.. Didn‚Äôt expect nice food ...", Aug 2018,18-Aug,"New Plymouth, New Zealand",Auckland - Phuket,Economy,43,4
269,A Most professional Airline.,"The flight was impacted by an approaching Typhoon.  We were delayed by 2 hours-- but, as information became available we were informed.  While seated on the plane awaiting permission to fly, were were served an excellent meal and provided, repeatedly, with drinks [the French‚", Aug 2018,18-Aug,"Penang Island, Malaysia",Guangzhou - Penang,Economy,"1,287",5
270,"Simply, the very best trans Pacific airline!!","Although the flight was 100% full, it left, and arrived ""on time""-- and the cabin crew worked very efficiently to meet any needs that we might have.  The plane was a very comfortable Boeing ""Dream-liner"".   Each traveller had a large screen for watching a very large choice of‚", Aug 2018,18-Aug,"Penang Island, Malaysia",Vancouver - Guangzhou,Economy,"1,287",5
271,Do not recommend it at all!,They do not send any information about the ticket that they sell. We bought the ticket 5 months before the departure date and Southern China Airlines did not provide any information about the transit situation and even the information was not on their website! We denied‚, Aug 2018,18-Jul,"Melbourne, Australia",Tehran - Melbourne,Economy,1,1
272,Need improvement.,Seats are far too cramped. TV screen controls do not work. Pre-meal selection does not work. Diabetic meals end up with high carbs and sugary gravy. Need of a proper dietitian to advise on meals. Not available on all flights., Aug 2018,18-Aug,,Auckland - Bangkok,Economy,16,3
273,amazing improvement,"Wife n I decided to throw caution to the wind and return to China on CSA, had recently read CSA had received a much improved award we thought what the hell, Firstly note that Premium Economy has been removed and replaced by 50+ economy seats. Flight...very good few bumps to be‚", Aug 2018,18-Aug,"Dandong, China",Brisbane - Shenyang,Economy,46,4
274,Will fly with them again,The trip was excellent from start to finish (return) The service was exceptional with VIP greet in China and escorted to lounge for transit. Luggage was on the carousel in Heathrow within minutes of arrival. Food was excellent and cabin crew attentive at all times. The flat bed‚, Aug 2018,18-Aug,,Auckland - London,Business Class,1,5
275,Comfy and affordable flight,"Moving home from Korea, I had two large checked bags and this was the first airline that made it very easy. They did not give me a hard time about the weight and the staff was very friendly. Food was good during the flight.", Aug 2018,18-Jun,,Seoul - Toronto,Economy,20,5
276,Good airline,"Very happy with China Southern. More room between seats than some airlines, excellent cabin attendants, smooth flight, no hassles.", Aug 2018,18-Aug,,Melbourne - Beijing,Economy,43,5
277,DELAYS DELAYS DELAYS,We had two flights each way (total four flights) to and from Australia on China Southern. Every flight was significantly delayed except our last flight home to Australia (which we missed by a few minutes as our connecting was delayed. Both to and from Australia we were put up in‚, Aug 2018,18-Aug,"Melbourne, Australia",Melbourne - Hangzhou,Economy,1,2
278,Never again,No words. Would never recommend this company. I'd sooner jump in a rubber boat and battle the Atlantic before flying this line again, Aug 2018,18-Aug,"Brisbane, Australia",London - Sydney,Economy,7,1
279,"Worst airline experience ever, from start to finish both ways (return trip)","A letter I wrote to the airline in August 2018, which they have not replied to date.  Dear China Southern Airline,  I am writing in with the most disappointed feeling I have ever felt about an airline.    I have been traveling extensively for the past 30 years and have been to‚", Aug 2018,18-Jul,Singapore,Nanjing - Kuala Lumpur,Business Class,77,1
280," would fly again, wouldn't eat the food",We live in China and have taken several flights with this airline because their prices are ok. I would fly them again as long as they have the cheapest price. I wouldn't fly this airline for any long haul flights. The planes are generally old and not well kept. Once I found a‚, Aug 2018,NA,,Guangzhou - Hanoi,Economy,25,2
281,As good as most,"The seating across the plane from Brisbane to Guangzhou was 2,4,2, which meant that only the person on the aisle had to move so the other person could get out. This is much better than having 3 across on the sides. It also meant there was more space for passengers and this was‚", Aug 2018,18-Aug,"Terranora, Australia",Brisbane - New York City,Economy,266,4
282,Flight itself was fine but transit and luggage care was dreadful,"Flight was fine and service on board was good. However, the rest was simply dreadful. On-line check-in is impossible and queues at the airport check-in were huge. Transit in Guangzhou was a pain due to having to go through a ridiculous and unworkable fingerprint type of scanner‚", Aug 2018,18-Jul,"Melbourne, Australia",Melbourne - London,Business Class,31,1
283,best headphones in any economy service I‚Äôve been on,"Excellent headphones, and female cabin staff are very friendly. All staff were helpful when asked, but not proactiv, other than one young lady who gave me a BIG glass of red wine. I flew ADELAIDE to Saigon (HCMC) via Canton (Guangzhou), then back to Canton, then onto Heathrow ‚", Aug 2018,18-Aug,"Adelaide, Australia",Adelaide - London,Economy,127,2
284,Lots of delays!,"This is just this trip in August. There was one more in May when service staff directed us to the wrong counter and we ended up 5 mins late for Check in, there were 9 of us and they have sold our 9 seats to other passengers (overheard one of their staff on the phone).  For this‚", Aug 2018,18-Aug,,Changchun - Guangzhou,Business Class,1,1
285,Plessure and pain,"What is there to say, Well best to be objective, I have traveled a lot, I have been to twenty countries with numerous internal flights as well as many flights while in the military my flight to Philippines via china was possibly the best flight I have ever had, Feeling I had‚", Aug 2018,18-Aug,,Manila - Cairns,Economy,1,1
286,A Pleasant Surprise!,"This trip fron Toronto involved a stopover and transfer at GanZhou, which proceded to Singapore. The first leg of the flight was 13 hours and 40 minutes, the second leg was 3 hours and 40 minutes. All things considered, I was rather stunned by the effective routinization of the‚", Aug 2018,18-Aug,,Toronto - Singapore,Economy,17,5
287,My 3 week long trip is ruined,My 3 week trip ruined by China Southern Airline.  I have traveled this airline for the first time from Vancouver to India and boarded my flight on 18th Aug 2018. I was so wrong in taking a chance with a Airline with whom I have no experience. Now I am paying a price which I am‚, Aug 2018,18-Aug,,Vancouver - New Delhi,Economy,2,1
288,Long trip,Boarding was interesting. Business children and disabled then everyone else. No boarding by zones but it seemed to work well. We liked the 2 4 2 arrangement and the leg room was pretty good for economy. The cabin attendants were friendly and the meal service was quick though the‚, Aug 2018,18-Aug,"Sydney, Australia",Sydney - Amsterdam,Economy,294,3
289,Best economy legroom in international flights,I took CZ3028 to Guangzhou. It was Airbus A330-300. I took the seats near the wings. I was amazed to see the legroom and comfort in economy. This is the maximum legroom i have seen in this segment. The seats were comfortable and the staff was good. The food was average though.‚, Aug 2018,18-Aug,"Gurugram (Gurgaon), India",New Delhi - Guangzhou,Economy,79,4
290,How to Improve,"Over the last 8 years my wife and I have flown extensively with China Southern to Europe, China and SE Asia. Eight years ago they were simply transport but a year ago they achieved service parity with other airlines we have used ... and that's a lot but their lounge quality in‚", Aug 2018,NA,"Lismore, Australia",Brisbane - Ho Chi Minh City,Business Class,131,5
291,Terrible long flight made longer by terrible things,"I was in an aisle seat.  The staff were constantly hitting my shoulder and knee (which were inside the bounds of my seat).  Instead of say, ""I'm sorry"" or apologizing in any way their stock response was ""be careful.""  Really?  You are the ones running into me.  YOU need to be‚", Aug 2018,18-May,,Los Angeles - Guangzhou,Economy,7,2
292,"Lot of turbulence , Rough weather","August 10, flew on Airbus A319 from Guangzhou to Kathmandu. The whole flight experienced heavy turbulence. Was a connecting flight for me, domestic to international, we didn't need to claim luggage and re check in, nor did we need to go through any security check. We just had to‚", Aug 2018,NA,"Kathmandu, Nepal",Guangzhou - Kathmandu,Economy,722,4
293,Smooth flight,"The flight CZ 3112 on August 10,2018 was smooth but had got delayed because we were made to wait on the bus carrying us to the aircraft A 330 , for some unknown reason. Then it got delayed further because of runway traffic.   Check in was smooth, in flight vegetarian meal which‚", Aug 2018,NA,"Kathmandu, Nepal",Beijing - Guangzhou,Economy,722,4
294,Review,I was coming from Hangzhou to Nairobi and I had a layover of more than 10 hours. I was given accommodation and breakfast close to the airport for those hours by the airline. Very good service! I love it. , Aug 2018,NA,,Nairobi - Hangzhou,Economy,31,5
295,Friendly staff & Efficient operations,"My experiences with the China Southern airport staff was excellent. Our flight had been cancelled due to weather, but the process of providing my family with seats on the next flights was quite seamless. (Unlike our experience on Delta a week prior).  The in-flight experience‚", Aug 2018,18-Aug,"Seattle, Washington",Beijing - Chengdu,Economy,123,5
296,Smooth Run and Good legspace,"It was a great Journey when I traveled From Maldives to Sri Lanka and back with China Southern. Service was really good, great food and good staff..", Aug 2018,18-Aug,"Negombo, Sri Lanka",Male - Colombo,Economy,69,4
297,For a budget flight this generally is ok with in flight food and luggages,First time taking this flight. For a budget flying this consider reasonable ok with food in flight and luggage to bring along for a week trip. Many Chinese families taking the flight since it's a china airline and many kids taking the flight and a bit of noise and running about.‚, Aug 2018,18-Jul,singapore,Singapore - Shenzhen,Economy,11,3
298,Food and service are ok. Entertainment is a bit outdated.,China Southern is a reasonable airline. The flat beds are ok. Not as good as some other airlines but you can have a reasonable rest. The service is fine. The food is good. The entertainment system is outdated. I really miss the cameras on some other airlines. They really make it‚, Aug 2018,18-Jul,"Mentone, Australia",Ganzhou - Melbourne,Business Class,78,4
299,Good level of service,"The flight was operated with an Airbus A380, the largest commercial aircraft. The service was very good during the whole flight, being the crew always kind and available for requests. The huge dimensions of the aircraft allows some walk, which is very important during long‚", Aug 2018,18-Jul,"Rome, Italy",Amsterdam - Beijing,Economy,78,4
300,A380 Business,"We booked our flight on China Southern as the fare was very cheap for a business class ticket to Asia.  I had read some of the on-line reviews so I was not expecting much.  While some of those reviews have some merit, most don't.  Business Class came with Korean Lounge access at‚", Aug 2018,18-Jun,"San Antonio, Texas",Los Angeles - Guangzhou,Business Class,"2,323",4
301,Very disappointed,China Southern Airlines customer service is terrible it took 6 months of emails for them to tell me I would not be refunded for bed not working in first class I thought that was the whole point of first class travel to be able to lay down to sleep , Aug 2018,18-Jan,"Billericay, United Kingdom",Guangzhou - London,First Class,5,1
302,"Economy cost, economy service","Outward journey Auckland to Chiang Mai via Guangzhou, China in July and return August 2018. Seats very uncomfortable, old films on monitor, poor food. Ground staff very good, On-flight staff overworked and stressed. Short flights  had more comfortable seats and leg room than the‚", Aug 2018,18-Aug,,Auckland - Chiang Mai,Economy,26,2
303,Would use again!,We found out in Auckland we would not be seated together and had our seats changed. This was simple and easy but we‚Äôre confused as to why we were not seasted together when our tickets were purchased together six months ago.   The food from Auckland to Phuket was tasty and fresh!‚, Aug 2018,18-Aug,,Auckland - Phuket,Economy,23,4
304,Basic flight experience,The staff are very friendly and go out of their way to help. Not that you fly on a plane for the food experience but the food here was bad. The seats seem to give good leg room compared to others. The entertainment system was less than average., Aug 2018,18-Jul,"Sydney, Australia",Sydney - Amsterdam,Economy,2,3
305,Amsterdam Sydney,"Plus: Excellent leg room, CSA offers a transit hotel if you have a long lay-over in Guangzhou. Friendly and helpful staff on board. Minus: We had problems checking in online and making meal reservations online (vegetarian).", Aug 2018,18-Aug,"Bocholt, Belgi√´",Amsterdam - Sydney,Economy,12,3
306,Very Good but the meal,"Took this flight on July 28, it was smooth, a connecting flight for me check in wasn't an issue, on time, legroom and seat very good, on board free WiFi was a pleasant surprise to me , there was both plug and USB charging facility. I couldn't get a vegetarian meal on board as I‚", Aug 2018,NA,"Kathmandu, Nepal",Guangzhou - Beijing,Economy,722,4
307,TERRIBLE Contactibility and Staff,DO NOT FLY CHINA SOUTHERN! Unless you leave a day between connecting flights! After our flight out of Melbourne was cancelled they had absolutely no plan for all the passengers other than try and push them off to hotels and bring people back the next day with no confirmed‚, Aug 2018,18-Jul,,Melbourne - Reykjavik,Economy,33,1
308,Smooth and punctual,"We took this flight to attend a seminar in China at Beijing. The staffs at the check in were very courtsious , helped to make the check in smooth. The on board experience was average, no entertainment on the Airbus A319, the in flight meal was average. Cabin crew was friendly‚", Aug 2018,NA,"Kathmandu, Nepal",Kathmandu - Guangzhou,Economy,722,4
309,Surprisingly good leg room,Legroom is great. In flight service was so-so. My personal entertainment unit wasn‚Äôt working so it was like 1985 for me! Weird set up for transiting passengers. You take a bus to terminal from the plane. Go through maze of security checks and this check and that check and‚, Aug 2018,18-Aug,"Sydney, Australia",Sydney - Guangzhou,Economy,122,3
310,Worst food ever on a plane,"I have had a few good flights with this airline before but today's meal, if you can call it that, was a disgrace. It was labelled as a ""beef hamburger"" and everyone was given that without any other choice. No other snacks with it.  As you can see from the photos it's basically‚", Aug 2018,18-Aug,South Africa,Shenzhen - Wuhan,Economy,20,2
311,Solid product ,My first time flying China Southern (CZ). Was hesitant as the price was more than 1/2 of the other major airlines business class. First leg of current trip was LAX to CAN (Guangzhou China) and CZ preformed admirably. Both hard and soft product were very good. Business on A380 is‚, Aug 2018,18-Aug,Arizona,Los Angeles - Guangzhou,Business Class,"1,631",4
312,"Airline is just fine, it's the Dreamliner 787 that disappoints","Except for the following rant, I couldn't fault China Southern on all my flights between NZ, China and Vietnam.  Good food, very good cabin crews, all flights on time, and a reasonable selection of entertainment. I've flown around a lot on both international and domestic flights‚", Aug 2018,18-Aug,"Auckland Central, New Zealand",Guangzhou - Auckland,Economy,6,4
313,Good Service. Food Was OK,I flew from Delhi to Guangzhou with China Southern. In-fligt staff was very polite and helpful. Entertain system is almost at par with other airlines. Collections of movies was slightly less than others. Food was not that great. Airlines will provide you a blanket but not a‚, Aug 2018,18-Jul,"London, United Kingdom",New Delhi - Guangzhou,Business Class,45,4
314,Wonderful flight experience,"i was very sceptical about flying with China Southern as i had not heard of them before but i could not have been more wrong as they were exceptional, the plane we flew on was an Airbus A333 Jet it was very modern and clean and the food was very nice. The cabin crew were good‚", Aug 2018,18-Jul,"Wurtulla, Australia",Brisbane - Paris,Economy,9,5
315, Average airline,Flight to Guangzhou ok but passenger in front constantly rang for service as he was sick. Shouldn't have been let on plane. Otherwise staff pleasant but limited knowledge of English. Not enough water available. Small cup given only. Gluten free meal fish and 3 veg just ok.  Note‚, Apr 2018,NA,,Osaka - Melbourne,Economy,22,3
316,Bring your own headphones!,"16 hour flight so be prepared with your own snacks. Inflight meal service booking not equipped to handle multiple food sensitivities. Inflight meals do serve shellfish so for those severely allergic beware. Bring your own snacks, extra clothing and quality headphones. Flight got‚", Apr 2018,18-Apr,"Port Elgin, Canada",Guangzhou - Toronto,Economy,23,3
317,Don Fly with this Airline,"awful Airline ,left one of our group at Heathrow  Check in chaos due to only 3 check in and not able to CHECK IN ONLINE ? Gave us i minute to decide  said problems with visa at Australia end  had to leave 64 years old to sort another flight with different airline ,got to‚", Apr 2018,18-Feb,London,London - Sydney,Economy,2,1
318,Nice cheap business class flight,"If you want a cheap business class option for the long-haul to NZ, this is a pretty good choice.  Being in business you get preferential treatment both in the air and in the transit lounge in Guangzhou, better food, a lie-flat or almost lie-flat seat and a good entertainment‚", Apr 2018,17-Sep,UAE,Dubai - Auckland,Business Class,165,4
319,Not too bad,Easy flight. The plane was not crowded. The flight was comfortable. The check in process was easy. Overall- Good., Apr 2018,18-Apr,"Shenzhen, China",Shenzhen - Beijing,Economy,363,4
320,Australia to Vietnam via southern China,Seating was tight but comfortable. The in flight food and entertainment was good. The attendants friendly and helpful. Air fares were reasonable priced and flights departed and arrived on time. What more do you need from a flight!, Apr 2018,NA,,Brisbane - Ho Chi Minh City,Economy,9,4
321,Eight hour delay and a diversion ,Climbed aboard shuttle bus and all looked good. Long pause then everyone off again. Plane has a problem. All given free food. Eventually plane takes off. 30 minutes from destination diverted due to rain?  Air traffic ?  Not much information. Sit on runway for a while as all‚, Apr 2018,18-Apr,"Shoreham-by-Sea, United Kingdom",Guilin - Shanghai,Economy,602,1
322,China Southern to Melbourne,"Flight is smooth. Cabin was clean. Food is average. Take off was delayed for half an hour. However the transit in Guangzhou was a rash, but ground crew was helpful. we only have 20 minutes to board plane.", Apr 2018,18-Apr,"Greater Melbourne, Australia",New Delhi - Melbourne,Economy,11,2
323,China Southern Airline to India,"Smooth flight, Food and service above average. Cabin was clean and acceptable. Inflight entertainment is good but need more older music from Taiwan province to cater for my generation tastes.", Apr 2018,18-Apr,"Greater Melbourne, Australia",Melbourne - New Delhi,Economy,11,3
324,Nightmare!,The air steward on this flight are rude! They have given me half measure of red wine in comparison to a male passenger which is an insult and total sexism.  Can't a woman handle her drink? I absolutely felt insulted during this flight. Snacks and drinks (even water) are very‚, Apr 2018,18-Mar,"Greater London, United Kingdom",London - Manila,Economy,5,1
325,A good decision to Fly China Southern from Kuala Lumpur to Xian,Decision to fly China Southern from Kuala Lumpur to Xian was a good one. Flights were on schedule. Transit time was short. I was met by a China Southern representative as I exited the aircraft in Guangzhou and escorted through immigration and customs to the domestic airline‚, Apr 2018,18-Mar,"Sunshine Coast, Australia",Kuala Lumpur - Xi&#39;an,Business Class,61,4
326,"Depart and arrive on time, excellent airline","Well run airline, luggage closes 30 min before departure, plane departs on time and arrives as scheduled, clean modern planes , Service and response, food ok' and movies etc all good.", Apr 2018,18-Mar,"Perth, Australia",Perth - Guangzhou,Economy,38,4
327,well satisfied low cost airline,"Paid $599 with a four hour transit in Guangzhou. Seats were better than AA or Southwest. Staff on board and at airport were courteous. Besides the two full meal and one snack, they had snacks in the galley whenever asked for. Restrooms were clean. No restrictions on moving‚", Apr 2018,18-Jan,"Riverside, California",Los Angeles - Singapore,Economy,17,4
328,Great flight into Vietnam!!,"Planes were in great shape, lots of films to chose from. Staff was excellent.  One of the flights was due  to air traffic,  China Southern made sure we made our connection, by racing us through the airport and getting us through customs very quickly.", Apr 2018,18-Mar,"Saxonburg, Pennsylvania",San Francisco - Ho Chi Minh City,Economy,51,5
329,"Got me to my destinations, but didn't enjoy the ride","I got an extremely affordable round trip flight from San Francisco to Delhi (stopping in Guangzhao) for only $650! But, I got what I paid for... While all four flights were on-time and got me safely to my destinations, the on-board experience left a lot to be desired.   First of‚", Apr 2018,17-Oct,"San Francisco, California",San Francisco - New Delhi,Economy,38,3
330,No transit hotel. Never flying China southern again ,When I booked this business class flight I enquired if a hotel was included for the 7:50hr layover. Yes but maybe not a nice hotel was the answer  When I checked in at VIP gate in Beijing the CZ staff confirmed a transit hotel.  When My flight arrived at Guangzhou I was met by a‚, Apr 2018,18-Apr,Melbourne,Beijing - Melbourne,Business Class,109,1
331,Pleasantly Surprised ,"After reading all of the reviews, I was very hesitant about taking China Southern. I was pleasantly surprised with the service, the airline, and the accomodating attitudes of all of the customer service representatives. The food was good, the entertainment on your individual‚", Apr 2018,NA,"Calabasas, California",Los Angeles - Bangkok,Economy,88,5
332,Great Airline,I was nervous to flight domestically by myself since I do not speak Mandarin.  The airline had everything in English and everyone on the flight crew was able to speak a little English.  I felt comfortable. The one thing I did not like was when we boarded at the gate we had to‚, Apr 2018,18-Apr,,Shenzhen - Beijing,Economy,2,4
333,great airline - only one problem - in flight entertainment,"China Southern is a brilliant airline especially for couple who can get the window seats (there's two seat then an aisle then 4 seats and then another two seats).Food is great, service is great, toilets are plenty - in fact the airline is brilliant  .... Except - the in flight‚", Apr 2018,18-Mar,"Sydney, Australia",Sydney - Hangzhou,Economy,4,4
334,Delightful Experience,I had never flown to Asia before and had never heard of China Southern> I was happy to find out that they were part of the SkyTeam family as I am a loyal Delta customer. I didn't know what to expect but was pleasantly surprised. The seats were very comfortable. Even in Economy‚, Apr 2018,18-Mar,"Naperville, Illinois",Siem Reap - New York City,Economy,210,5
335,Good service on board!,"China Southern has a very good service inflight. The VIP Lounge for this airline is not the best one but have the necessary stuff such as food, coffee, beers, tea and very comfortable chairs", Apr 2018,18-Apr,"Chongqing, China",Haikou - Chongqing,Business Class,2,4
336,Good service on board but poor customer service at airport counters,"Very poor customer service at airport counter. My flight had a stop and change plane in Guangzhou, two hours layover.  The boarding pass from Hangzhou to Guangzhou was issued at the airport in Hangzhou but not for the second flight. when I asked for it they said I had to get it‚", Apr 2018,18-Mar,"Guelph, Ontario, Canada",Hangzhou - Toronto,Economy,48,3
337,Guongzhou gotcha,"The airline is OK.  Seating comfortable, food edible.  Service is good. The problem is that all transpacific flights must transit in Guangzhou.  The Government now requires visas in advance even for transit.  The visa requires filling in a four page form, is expensive,‚", Apr 2018,18-Apr,"Penang, Malaysia",Penang - San Francisco,Business Class,28,3
338,Blows Hot and Cold,"Great outward bound from Australia, but internal flights in China were ho-hum as was the return from China. Food selections limited and often ran out. Entertainment system was problematic - some monitors would change to English, many wouldn't and the staff were unable to fix the‚", Apr 2018,18-Mar,"Sunshine Coast, Australia",Brisbane - Xi&#39;an,Economy,18,3
339,Great service,"Very accommodating, gave us a free night's stay at a hotel in Guangzhou for our stopover. Lovely staff and the food was all good. Had an hour delay on our stopover, but no other problems. Very cheap tickets as well.", Apr 2018,NA,,Adelaide - Los Angeles,Economy,3,4
340,"China Eastern and China Southern, Two Worst Airlines","From the check in service to the inflight service, the ""service"" is nonexistent, the food they serve is so shabby, and the worst I have ever seen. Flight delay is usual. I think China Eastern and China southern, the two of the major airlines are the worst.  It simply shows the‚", Apr 2018,18-Apr,"Tokyo Prefecture, Japan",Hangzhou - Dalian,Economy,217,2
341,Reasonably decent experience for a Chinese line - tight legroom,"Decent airplane with newer entertainment options and seats. I am 6 foot tall and only had about 3 inch gap in front so it was tight. Other than that, the food was decent, friendly and efficient attendants, and very smooth experience. Between China Southern and China Eastern it‚", Apr 2018,18-Apr,New York,Guangzhou - Los Angeles,Economy,4,4
342,Some efforts needed,"I travelled on business class to Bangkok, for over 16 hours. The plane was good, and the comfort was adequate. However, a lot to change starting with the food. It was simply tasteless, cold, not appealing, and disgusting. The breakfast was also another horrifying experience.‚", Apr 2018,18-Feb,"New York City, New York",New York City - Bangkok,Business Class,112,2
343,Malaysia Vacation,"Very good service from the flight crew. Two good meals with choices, drinks and snacks on 14 hour flight.", Apr 2018,18-Jan,,Guangzhou - Toronto,Economy,4,4
344,"With their premium economy class, it's worth it","Actually, they have premium economy class seats. (The TA website does not show the choice). The premium seating has good legroom, with raised leg support, just like a lounge chair. For long distance flight, it's worth the price.", Apr 2018,18-Feb,,Guangzhou - San Francisco,Economy,28,4
345,"Does the Job, Generic Food, Uncomfortable Premium Economy","Like most of China's big airlines, this has a good safety record and new aircraft. It is one of the cheapest carriers if you buy at the right time.   For less than $1,200 roundtrip we booked premium economy seats (vs $490 for economy), with 2 seats on the side. While the section‚", Apr 2018,18-Feb,"New York, New York",New York City - Kuala Lumpur,Economy,47,3
346,Avoid Wuhan stopover!!,"The flight was in January, very cheap at about $550 r/t from SFO to Bangkok. The problem is not with the airline, which is fine. Never fly via a Wuhan stopover! You have to go through immigration and customs twice within the airport--first for entry into China (no visa needed if‚", Apr 2018,18-Jan,"Boise, Idaho",San Francisco - Bangkok,Economy,31,4
347,"Clean, efficient, pleasant","The equipment was new and kept clean, crew were courteous and efficient, and seats in economy were reasonably comfortable.  Food and snack choices were good.  Transfer at Padong (Shanghi) was fast and easy.", Apr 2018,17-Dec,"Twentynine Palms, California",Los Angeles - Bangkok,Economy,141,4
348,Seats seemed hard in the long segment.,"The long segment(12 hours), on a double decker. The seats seemed hard and kind of close for me.  On the second leg the seats were very comfortable.. The service was OK  but the Servers were a little stiff.  No problems.", Apr 2018,18-Feb,Nevada,Los Angeles - Manila,Economy,18,4
349,Flight JFK to SGN,"Service was excellent. The plane was late leaving JFK but made up time so we didn't miss our connection. Clean, comfortable polite staff and good choices of food.", Apr 2018,17-Jun,"Coral Springs, Florida",New York City - Ho Chi Minh City,Business Class,14,4
350,When everything goes well it is just fine.,"First RT was uneventfull. They were very accomodating as well. Second time, the first flight (China Southern, domestic) was delayed, and they would not put me on another flight (also CS) which was running on time in order to make it. They just said (in Chinese) don't worry.‚", Apr 2018,17-Oct,"Spring Valley, New York",New York City - Xi&#39;an,Economy,4,4
351,Better than Expected,We took a flight from Los Angeles to Guangzhou to Bangkok (and back). We sat in the bulkhead rows on the way to Guangzhou. Before we left the flight was delayed but it took 40 minutes for any of the gate agents to tell us why it was delayed or how long it would be delayed. (It‚, Apr 2018,18-Mar,"San Diego, California",Los Angeles - Bangkok,Economy,24,3
352,Why stop in China?,"long flight everyone very nice, prefer if they not make me go through customs in China. also did not have hotel name and address for customs in Bangkok . took three hours and by nthat time had lost my checked bag", Apr 2018,18-Mar,Truckee,San Francisco - Bangkok,Economy,3,4
353,excellent,The priority book in and boarding was so easy. the seats comfortable . Cabin staff could not have been more helpful. In flight service excellent as was the food. The lounge at Guangzhou was comfortable but could have done with more than 2 showers in operation (to be fair we were‚, Apr 2018,18-Mar,,London - Auckland,Business Class,1,5
354,Guangzhou to Phnom Penh & back,"Flight always crowded, seats uncomfortable and online check-in never works. It's extremely frustrating trying to check-in early for a flight, change your seat to something you want and never able to achieve that.", Apr 2018,18-Apr,"New Orleans, Louisiana",Guangzhou - Phnom Penh,Economy,29,3
355,FLYING WITH THEM AGAIN,"Excellent service on board and at the airport.  My husband had his swollen foot bandaged and they immediately called for a wheelchair and amended our seats, so that he had a blocked seat next to him on which to rest his foot.  Everyone was so kind.  The airline food was also‚", Apr 2018,18-Mar,"bundaberg, queensland",Brisbane - Hanoi,Economy,33,5
356,Better than anticipated,"Modern Boeing Dreamliner aircraft. Friendly and attentive staff, amenity kit provided (most 'Western' airlines now only supply in business. Food overall average, but good selection of drinks and staff often walked around with a tray of top ups. Overall a much better experience‚", Apr 2018,18-Apr,"London, UK",London - Guangzhou,Economy,39,5
357,Better than I expected,"The crew were pleasant, food was OK, airline supplied overnight accommodation in Guangzhou to meet the Osaka flight.  We would certainly fly with China Southern again.", Apr 2018,18-Mar,"Gold Coast, Queensland, Australia",Brisbane - Osaka,Economy,392,3
358,Interesting ,We where on a tour had no choice but to fly with China Southern.  The ground staff in Sydney was good.With the type of tickect we had we could not do on line check in. The plans look new and modern a good selection on inflight entertainment I would suggest to bring your own‚, Apr 2018,NA,Aussie Single traveller,Sydney - Osaka,Economy,241,4
359,Great value for business class,"We approached the flight with a degrees of trepidation as we had got such a good deal on full business class to BKK from LHR, via Guangzhou. Apart from the disappointing lounge at LHR, which is a shared facility we had a very comfortable flight. The choice of films is sufficient‚", Apr 2018,18-Apr,"Lincoln, United Kingdom",London - Bangkok,Business Class,83,4
360,Excellent value for Business class,"Having not flown with China Southern before and not knowing anybody who had experienced them either we approach he‚Äôd the flight with a sense of nervousness, especially as we had got such a great price for full business class. This was all dispelled once we boarded the plane,‚", Apr 2018,18-Apr,"Aisthorpe, United Kingdom",London - Bangkok,Business Class,23,4
361,Pleasantly Surprised,"Recently had to fly directly to Guangzhou for a week for work. The only direct option was China Southern. Having never flown with this airline I was not sure what to expect. I was pleasantly surprised. From the friendly check -in staff member to the efficient on board crew, the‚", Apr 2018,18-Mar,"Sydney, Australia",Sydney - Guangzhou,Economy,115,5
362,"China Southern, China Air, Air China, China Eastern...","they are all the same.  Seems China Eastern is predominate.  I go steerage - that's a seat in the tail.  Can't see much.  No windows.  But it's cheap.  Food is wonderful.  You have to go down stairs to get it in the galley, tho.  Plenty of snacks.  Bathroom is down the stairs‚", Apr 2018,17-May,"Groton Long Point, Connecticut",New York City - Manila,Economy,128,4
